id,created_at,price,product_id,updated_at
131,2019-06-25 13:52:10.640000,"9,79",14182,2019-06-25 13:52:10.640000
132,2019-06-25 13:52:15.130000,"474,91",11757,2019-06-25 13:52:15.130000
133,2019-06-25 13:53:21.219000,"56,14",9582,2019-06-25 13:53:21.219000
134,2019-06-25 13:53:38.760000,"109,90",12125,2019-06-25 13:53:38.760000
135,2019-06-25 13:54:01.666000,"239,90",16922,2019-06-25 13:54:01.666000
136,2019-06-25 13:54:20.350000,"179,80",7186,2019-06-25 13:54:20.350000
137,2019-06-25 13:54:31.242000,"799,00",12293,2019-06-25 13:54:31.242000
138,2019-06-25 13:55:13.693000,"31,98",16130,2019-06-25 13:55:13.693000
139,2019-06-25 13:55:45.269000,"221,70",7132,2019-06-25 13:55:45.269000
140,2019-06-25 13:55:59.101000,"719,99",16929,2019-06-25 13:55:59.101000
141,2019-06-25 13:56:15.309000,"179,91",8689,2019-06-25 13:56:15.309000
142,2019-06-25 13:57:05.239000,"369,00",11103,2019-06-25 13:57:05.239000
143,2019-06-25 13:57:11.144000,"245,00",8140,2019-06-25 13:57:11.144000
144,2019-06-25 13:59:52.085000,"44,50",9073,2019-06-25 13:59:52.085000
145,2019-06-25 14:00:07.322000,"579,90",10566,2019-06-25 14:00:07.322000
146,2019-06-25 14:00:18.219000,"145,46",17056,2019-06-25 14:00:18.219000
147,2019-06-25 14:00:39.239000,"382,41",11390,2019-06-25 14:00:39.239000
148,2019-06-25 14:00:57.696000,"58,00",10122,2019-06-25 14:00:57.696000
149,2019-06-25 14:01:25.155000,"2.699,00",13036,2019-06-25 14:01:25.155000
150,2019-06-25 14:01:42.615000,"141,46",11494,2019-06-25 14:01:42.616000
151,2019-06-25 14:01:42.735000,"179,91",8420,2019-06-25 14:01:42.735000
152,2019-06-25 14:01:52.802000,"2.429,91",9857,2019-06-25 14:01:52.802000
153,2019-06-25 14:01:56.226000,"51,30",8498,2019-06-25 14:01:56.226000
154,2019-06-25 14:02:28.148000,"1.689,00",6969,2019-06-25 14:02:28.148000
155,2019-06-25 14:02:55.704000,"49,99",8557,2019-06-25 14:02:55.704000
156,2019-06-25 14:03:11.380000,"199,99",16905,2019-06-25 14:03:11.380000
157,2019-06-25 14:03:47.251000,"376,00",10937,2019-06-25 14:03:47.251000
158,2019-06-25 14:03:53.665000,"123,41",11668,2019-06-25 14:03:53.665000
159,2019-06-25 14:04:00.707000,"33,87",16857,2019-06-25 14:04:00.707000
160,2019-06-25 14:04:47.068000,"778,20",8227,2019-06-25 14:04:47.068000
161,2019-06-25 14:05:14.387000,"114,86",11422,2019-06-25 14:05:14.387000
162,2019-06-25 14:05:33.642000,"43,99",15140,2019-06-25 14:05:33.642000
163,2019-06-25 14:05:52.898000,"699,00",13071,2019-06-25 14:05:52.898000
164,2019-06-25 14:06:00.224000,"588,91",7983,2019-06-25 14:06:00.224000
165,2019-06-25 14:06:30.747000,"87,90",8864,2019-06-25 14:06:30.747000
166,2019-06-25 14:06:53.466000,"74,08",15810,2019-06-25 14:06:53.466000
167,2019-06-25 14:07:37.733000,"427,41",11464,2019-06-25 14:07:37.733000
